track_id,name,album_id,media_type_id,genre_id,milliseconds
1,For Those About To Rock (We Salute You),1,1,1,343719
2,Balls to the Wall,2,2,1,342562
3,Fast As a Shark,3,2,1,230619
4,Restless and Wild,3,2,1,252051
5,Princess of the Dawn,3,2,1,375418
6,Put The Finger On You,1,1,1,205662
7,Let's Get It Up,1,1,1,233926
8,Inject The Venom,1,1,1,210834
9,Snowballed,1,1,1,203102
10,Evil Walks,1,1,1,263497
11,C.O.D.,1,1,1,199836
12,Breaking The Rules,1,1,1,263288
13,Night Of The Long Knives,1,1,1,205688
14,Spellbound,1,1,1,270863
15,Go Down,4,1,1,331180
16,Dog Eat Dog,4,1,1,215196
17,Let There Be Rock,4,1,1,366654
18,Bad Boy Boogie,4,1,1,267728
19,Problem Child,4,1,1,325041
20,Overdose,4,1,1,369319
21,Hell Ain't A Bad Place To Be,4,1,1,254380
22,Whole Lotta Rosie,4,1,1,323761
23,Walk On Water,5,1,1,295680
24,Love In An Elevator,5,1,1,321828
25,Rag Doll,5,1,1,264698
26,What It Takes,5,1,1,310622
27,Dude (Looks Like A Lady),5,1,1,264855
28,Janie's Got A Gun,5,1,1,330736
29,Cryin',5,1,1,309263
30,Amazing,5,1,1,356519
31,Blind Man,5,1,1,240718
32,Deuces Are Wild,5,1,1,215875
33,The Other Side,5,1,1,244375
34,Crazy,5,1,1,316656
35,Eat The Rich,5,1,1,251036
36,Angel,5,1,1,307617
37,Livin' On The Edge,5,1,1,381231
38,All I Really Want,6,1,1,284891
39,You Oughta Know,6,1,1,249234
40,Perfect,6,1,1,188133
41,Hand In My Pocket,6,1,1,221570
42,Right Through You,6,1,1,176117
43,Forgiven,6,1,1,300355
44,You Learn,6,1,1,239699
45,Head Over Feet,6,1,1,267493
46,Mary Jane,6,1,1,280607
47,Ironic,6,1,1,229825
48,Not The Doctor,6,1,1,227631
49,Wake Up,6,1,1,293485
50,You Oughta Know (Alternate),6,1,1,491885
51,We Die Young,7,1,1,152084
52,Man In The Box,7,1,1,286641
53,Sea Of Sorrow,7,1,1,349831
54,Bleed The Freak,7,1,1,241946
55,I Can't Remember,7,1,1,222955
56,"Love, Hate, Love",7,1,1,387134
57,It Ain't Like That,7,1,1,277577
58,Sunshine,7,1,1,284969
59,Put You Down,7,1,1,196231
60,Confusion,7,1,1,344163
61,I Know Somethin (Bout You),7,1,1,261955
62,Real Thing,7,1,1,243879
63,Desafinado,8,1,2,185338
64,Garota De Ipanema,8,1,2,285048
65,Samba De Uma Nota Só (One Note Samba),8,1,2,137273
66,Por Causa De Você,8,1,2,169900
67,Ligia,8,1,2,251977
68,Fotografia,8,1,2,129227
69,Dindi (Dindi),8,1,2,253178
70,Se Todos Fossem Iguais A Você (Instrumental),8,1,2,134948
71,Falando De Amor,8,1,2,219663
72,Angela,8,1,2,169508
73,Corcovado (Quiet Nights Of Quiet Stars),8,1,2,205662
74,Outra Vez,8,1,2,126511
75,O Boto (Bôto),8,1,2,366837
76,"Canta, Canta Mais",8,1,2,271856
77,Enter Sandman,9,1,3,221701
78,Master Of Puppets,9,1,3,436453
79,Harvester Of Sorrow,9,1,3,374543
80,The Unforgiven,9,1,3,322925
81,Sad But True,9,1,3,288208
82,Creeping Death,9,1,3,308035
83,Wherever I May Roam,9,1,3,369345
84,Welcome Home (Sanitarium),9,1,3,350197
85,Cochise,10,1,1,222380
86,Show Me How to Live,10,1,1,277890
87,Gasoline,10,1,1,279457
88,What You Are,10,1,1,249391
89,Like a Stone,10,1,1,294034
90,Set It Off,10,1,1,263262
91,Shadow on the Sun,10,1,1,343457
92,I am the Highway,10,1,1,334942
93,Exploder,10,1,1,206053
94,Hypnotize,10,1,1,206628
95,Bring'em Back Alive,10,1,1,329534
96,Light My Way,10,1,1,303595
97,Getaway Car,10,1,1,299598
98,The Last Remaining Light,10,1,1,317492
99,Your Time Has Come,11,1,4,255529
100,Out Of Exile,11,1,4,291291
101,Be Yourself,11,1,4,279484
102,Doesn't Remind Me,11,1,4,255869
103,Drown Me Slowly,11,1,4,233691
104,Heaven's Dead,11,1,4,276688
105,The Worm,11,1,4,237714
106,Man Or Animal,11,1,4,233195
107,Yesterday To Tomorrow,11,1,4,273763
108,Dandelion,11,1,4,278125
109,#1 Zero,11,1,4,299102
110,The Curse,11,1,4,309786
111,Money,12,1,5,147591
112,Long Tall Sally,12,1,5,106396
113,Bad Boy,12,1,5,116088
114,Twist And Shout,12,1,5,161123
115,Please Mr. Postman,12,1,5,137639
116,C'Mon Everybody,12,1,5,140199
117,Rock 'N' Roll Music,12,1,5,141923
118,Slow Down,12,1,5,163265
119,Roadrunner,12,1,5,143595
120,Carol,12,1,5,143830
121,Good Golly Miss Molly,12,1,5,106266
122,20 Flight Rock,12,1,5,107807
123,Quadrant,13,1,2,261851
124,Snoopy's search-Red baron,13,1,2,456071
